Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,Head_12,Head_13,Head_14,Head_15,Head_16,Head_17,Head_18,Head_19,Head_20,Head_21,Head_22,Head_23,Head_24,Head_25,Head_26,Head_27
10,0.328369140625,0.268798828125,0.18408203125,0.1195068359375,0.032562255859375,0.25390625,0.124755859375,0.262451171875,0.23046875,0.11676025390625,0.2401123046875,0.317138671875,0.038421630859375,0.304443359375,0.241943359375,0.1187744140625,0.033721923828125,0.15380859375,0.134765625,0.18896484375,0.1318359375,0.201171875,0.166015625,0.1114501953125,0.243896484375,0.10260009765625,0.2059326171875,0.04852294921875
11,0.19873046875,0.10040283203125,0.1798095703125,0.0904541015625,0.181884765625,0.173828125,0.1427001953125,0.1796875,0.1451416015625,0.3193359375,0.181640625,0.10052490234375,0.0872802734375,0.46337890625,0.220947265625,0.177001953125,0.1641845703125,0.1558837890625,0.155517578125,0.11358642578125,0.1666259765625,0.379150390625,0.33935546875,0.2415771484375,0.336181640625,0.1964111328125,0.207275390625,0.1656494140625
12,0.62255859375,0.2469482421875,0.39111328125,0.1580810546875,0.322265625,0.075927734375,0.230224609375,0.242431640625,0.235595703125,0.1522216796875,0.1610107421875,0.18408203125,0.1627197265625,0.218505859375,0.480224609375,0.225830078125,0.044158935546875,0.282958984375,0.08697509765625,0.130859375,0.1256103515625,0.06427001953125,0.235107421875,0.311279296875,0.468994140625,0.21044921875,0.31982421875,0.243408203125
13,0.2025146484375,0.39697265625,0.5458984375,0.257568359375,0.26904296875,0.259521484375,0.302734375,0.1424560546875,0.155029296875,0.1634521484375,0.23291015625,0.2412109375,0.27978515625,0.2103271484375,0.29345703125,0.2471923828125,0.2078857421875,0.376220703125,0.43359375,0.24853515625,0.2442626953125,0.268310546875,0.440673828125,0.258544921875,0.296142578125,0.385009765625,0.309326171875,0.309326171875
14,0.0260467529296875,0.044586181640625,0.1072998046875,0.0419921875,0.0007572174072265625,0.0006418228149414062,0.0286865234375,0.039031982421875,0.258056640625,0.220947265625,0.243408203125,0.430419921875,0.2998046875,0.35009765625,0.322021484375,0.443603515625,0.38427734375,0.3349609375,0.689453125,0.45703125,0.36865234375,0.288330078125,0.232177734375,0.36962890625,0.285400390625,0.4990234375,0.240234375,0.279296875
15,0.306640625,0.53662109375,0.2086181640625,0.2298583984375,0.26953125,0.21630859375,0.231201171875,0.2276611328125,0.12298583984375,0.129638671875,0.163330078125,0.158203125,0.1519775390625,0.1978759765625,0.19189453125,0.1636962890625,0.41748046875,0.2303466796875,0.094482421875,0.1541748046875,0.264404296875,0.240234375,0.44775390625,0.394287109375,0.284423828125,0.2130126953125,0.260009765625,0.4208984375
16,0.417724609375,1.1396484375,0.47509765625,0.5947265625,0.83984375,0.69482421875,0.41162109375,0.439453125,0.318115234375,0.1376953125,0.0292816162109375,0.064208984375,0.0654296875,0.09698486328125,0.69189453125,0.398681640625,0.412841796875,0.443603515625,0.71142578125,0.39453125,0.5859375,0.1995849609375,0.267822265625,0.143798828125,0.284423828125,0.302978515625,0.32275390625,0.308349609375
17,0.50048828125,0.76513671875,0.3798828125,0.268798828125,0.63818359375,0.287353515625,0.50146484375,0.1865234375,0.293701171875,0.259033203125,0.0179901123046875,0.081787109375,0.063232421875,0.117431640625,0.54736328125,0.1622314453125,0.07012939453125,0.243408203125,0.5810546875,0.1373291015625,0.252685546875,0.580078125,0.44921875,0.50439453125,0.41064453125,0.42529296875,0.68798828125,0.54296875
18,0.38818359375,0.2080078125,0.41015625,0.0941162109375,0.74169921875,0.66845703125,0.37744140625,0.90576171875,0.477783203125,0.415283203125,0.90283203125,0.330810546875,0.374267578125,0.8623046875,0.6796875,1.3037109375,0.89794921875,0.65869140625,0.921875,0.327392578125,0.60009765625,0.50048828125,0.291015625,0.0626220703125,0.419677734375,0.73095703125,0.52734375,0.6005859375
19,0.7275390625,0.09075927734375,0.51513671875,0.099609375,0.474609375,0.375732421875,0.38671875,0.36376953125,0.09112548828125,0.08203125,0.52978515625,0.464599609375,0.452392578125,0.24853515625,0.6845703125,1.03515625,0.76318359375,0.93310546875,0.5771484375,0.7939453125,0.63671875,0.80810546875,1.197265625,1.98828125,1.298828125,1.2158203125,0.7890625,1.015625
20,1.333984375,1.58984375,1.9189453125,1.2880859375,1.8017578125,1.30859375,0.6806640625,0.2232666015625,0.38818359375,0.11053466796875,0.2978515625,0.150390625,0.098876953125,0.1998291015625,0.57568359375,0.771484375,1.0419921875,1.13671875,0.6181640625,0.6923828125,0.6015625,0.8876953125,0.80810546875,1.431640625,0.5595703125,0.3466796875,0.65625,1.3359375
