Rank,Layer,Head,certain,manipulated_1,manipulated_2,manipulated_3,increase_certain_to_manipulated_1,increase_manipulated_1_to_manipulated_2,increase_manipulated_2_to_manipulated_3,total_increase_certain_to_manipulated_3,trend_slope_per_step,monotonic_increase
87,14,Head_23,0.0,0.125,0.1903,0.2517,0.125,0.0653,0.06139999999999998,0.2517,0.08389999999999999,True
88,19,Head_3,0.0,0.1076,0.1647,0.251,0.1076,0.05710000000000001,0.08629999999999999,0.251,0.08366666666666667,True
89,12,Head_31,0.0,0.1094,0.1738,0.2502,0.1094,0.06440000000000001,0.07639999999999997,0.2502,0.08339999999999999,True
90,12,Head_15,0.0,0.1162,0.1832,0.2491,0.1162,0.067,0.06589999999999999,0.2491,0.08303333333333333,True
91,31,Head_0,0.0,0.1122,0.1727,0.2476,0.1122,0.0605,0.0749,0.2476,0.08253333333333333,True
92,14,Head_24,0.0,0.12,0.1791,0.2457,0.12,0.059100000000000014,0.06659999999999999,0.2457,0.0819,True
93,21,Head_8,0.0,0.1166,0.1753,0.2446,0.1166,0.058700000000000016,0.0693,0.2446,0.08153333333333333,True
94,13,Head_8,0.0,0.1304,0.1776,0.2445,0.1304,0.04720000000000002,0.06689999999999999,0.2445,0.0815,True
95,12,Head_4,0.0,0.1205,0.1803,0.2434,0.1205,0.05979999999999999,0.06310000000000002,0.2434,0.08113333333333334,True
96,15,Head_20,0.0,0.1103,0.1677,0.2422,0.1103,0.05739999999999999,0.07450000000000001,0.2422,0.08073333333333334,True
97,19,Head_10,0.0,0.1129,0.1718,0.2418,0.1129,0.05890000000000001,0.06999999999999998,0.2418,0.08059999999999999,True
98,31,Head_11,0.0,0.1127,0.1705,0.2417,0.1127,0.05780000000000002,0.07119999999999999,0.2417,0.08056666666666666,True
99,9,Head_2,0.0,0.1114,0.166,0.2397,0.1114,0.05460000000000001,0.07369999999999999,0.2397,0.0799,True
100,29,Head_11,0.0,0.1115,0.1704,0.2386,0.1115,0.058899999999999994,0.06820000000000001,0.2386,0.07953333333333333,True
101,28,Head_29,0.0,0.1151,0.1699,0.2368,0.1151,0.0548,0.06690000000000002,0.2368,0.07893333333333334,True
102,13,Head_13,0.0,0.1131,0.1687,0.2355,0.1131,0.05559999999999998,0.0668,0.2355,0.0785,True
103,17,Head_4,0.0,0.1256,0.1793,0.2351,0.1256,0.0537,0.055800000000000016,0.2351,0.07836666666666667,True
