Example,Label,PC1,PC2
286,not_enough_info,0.7270959,-0.44250298
287,not_enough_info,0.79930997,0.066733025
288,not_enough_info,0.79946756,0.0338891
289,not_enough_info,0.7397217,-0.39398244
290,not_enough_info,0.78235996,-0.04374696
291,not_enough_info,0.9651093,0.0292797
292,not_enough_info,0.8094534,0.090144284
293,not_enough_info,0.79183584,0.21505462
294,not_enough_info,0.83406425,0.025676142
295,not_enough_info,0.7335442,0.4197765
296,not_enough_info,0.75260097,0.100940496
297,not_enough_info,0.75820667,0.14049868
298,not_enough_info,0.8052594,-0.42728934
299,not_enough_info,0.68312967,0.11259337
300,not_enough_info,0.8564233,-0.1394281
301,not_enough_info,0.54857814,-0.0824984
302,not_enough_info,0.6361914,-0.120016165
303,not_enough_info,0.80273813,0.13856547
304,not_enough_info,0.70891094,0.37320295
305,not_enough_info,0.5461485,0.28164724
306,not_enough_info,-0.19637059,0.1705419
307,not_enough_info,0.7736983,-0.26029557
308,not_enough_info,-0.10163958,-0.11490722
309,not_enough_info,-0.106260225,-0.05835806
310,not_enough_info,-0.08340948,-0.21934557
311,not_enough_info,0.6761486,0.07021216
312,not_enough_info,0.6723634,0.09676435
313,not_enough_info,0.77357125,-0.22492464
314,not_enough_info,0.6471481,-0.27032265
315,not_enough_info,-0.38379988,-0.34158388
316,not_enough_info,0.9950901,-0.078734204
317,not_enough_info,0.7494282,-0.200252
318,not_enough_info,-0.062776245,0.6927639
319,not_enough_info,-0.2356232,0.27418044
320,not_enough_info,0.035653457,0.55722064
321,not_enough_info,-0.031057985,0.6669806
322,not_enough_info,0.012798649,0.58792126
323,not_enough_info,0.9797171,0.75847113
324,not_enough_info,0.032601245,0.73869115
325,not_enough_info,0.8007589,0.8055799
326,not_enough_info,-0.05729599,-0.23240384
327,not_enough_info,-0.35865986,-0.06725985
328,not_enough_info,-0.045650665,-0.35981125
329,not_enough_info,-0.18274081,-0.39247063
330,not_enough_info,0.76122546,-0.37467366
331,not_enough_info,0.06811928,-0.2074364
332,not_enough_info,-0.38452235,0.11506211
333,not_enough_info,-0.21366154,-0.07133299
334,not_enough_info,0.19649224,-0.31407678
335,not_enough_info,0.6260153,0.29333687
336,not_enough_info,0.5726028,0.36615297
337,not_enough_info,-0.13975336,-0.35603178
338,not_enough_info,-0.51471776,-0.65445673
339,not_enough_info,0.773363,-0.17208771
340,not_enough_info,0.9309096,-0.10552126
