Example,Label,PC1,PC2
214,manipulated_1,2.6486838,-2.1744702
215,manipulated_1,2.6538312,-2.348259
216,manipulated_2,-6.0611057,-0.48050424
217,manipulated_2,-7.8168015,-0.76666105
218,manipulated_2,-6.809013,-0.94238347
219,manipulated_2,3.3372467,-1.6243943
220,manipulated_2,3.0028853,-1.885827
221,manipulated_2,4.1851554,-2.2979622
222,manipulated_2,2.058177,1.793125
223,manipulated_2,1.9972122,1.769479
224,manipulated_2,-1.144872,1.9788382
225,manipulated_2,1.4233491,3.3968644
226,manipulated_2,-0.4624889,2.8502107
227,manipulated_2,-1.6719129,2.4466667
228,manipulated_2,1.7581947,-1.8003699
229,manipulated_2,1.1831872,-1.5789012
230,manipulated_2,1.427802,-1.7955054
231,manipulated_2,1.4293914,-0.5382605
232,manipulated_2,-1.3826023,-0.8262725
233,manipulated_2,-1.0157906,-1.2309605
234,manipulated_2,1.1103362,-1.2615639
235,manipulated_2,1.5732776,-1.22488
236,manipulated_2,-0.06869873,-1.2764249
237,manipulated_2,0.6388824,2.640924
238,manipulated_2,0.49742395,2.8006408
239,manipulated_2,0.298762,1.8367805
240,manipulated_2,-2.029507,-1.5381998
241,manipulated_2,-2.043853,-1.3164971
242,manipulated_2,-4.7384105,-1.4157997
243,manipulated_2,-5.9723477,-1.7121127
244,manipulated_2,-6.830673,-1.4253018
245,manipulated_2,-6.068144,-1.5688689
246,manipulated_2,1.0061128,-2.0062177
247,manipulated_2,0.7829039,-1.8951086
248,manipulated_2,2.66905,-2.1952307
249,manipulated_3,-6.0601482,-0.49692598
250,manipulated_3,3.3761065,-1.8897585
251,manipulated_3,2.2585976,1.8163848
252,manipulated_3,-1.1372738,0.8865245
253,manipulated_3,0.9016238,-1.6380873
254,manipulated_3,0.027804067,-0.33897156
255,manipulated_3,0.92581695,-1.3602177
256,manipulated_3,2.8169718,0.66531205
257,manipulated_3,-3.8988028,-1.4054996
258,manipulated_3,-6.5908456,-1.6594192
259,manipulated_3,-0.6141245,-1.9562223
