Example,Label,PC1,PC2
203,manipulated_1,0.20905365,-0.030897452
204,manipulated_1,-0.5175807,0.32695794
205,manipulated_1,-0.45149413,0.23222224
206,manipulated_1,-0.30996388,0.2772321
207,manipulated_1,-0.47990596,0.3677119
208,manipulated_1,-0.08311307,0.25519705
209,manipulated_1,-0.119942345,0.47813013
210,manipulated_1,0.4532942,0.92772716
211,manipulated_1,0.67702496,0.6835196
212,manipulated_1,0.55487597,0.8437582
213,manipulated_1,0.5339817,-0.5330467
214,manipulated_1,0.4433698,-0.68391514
215,manipulated_1,0.43661967,-0.6763138
216,manipulated_2,0.82762814,0.6642012
217,manipulated_2,0.8687043,0.87745357
218,manipulated_2,0.96528316,0.6256874
219,manipulated_2,-0.6919682,0.01398058
220,manipulated_2,-0.68259037,0.06047452
221,manipulated_2,-0.5587815,-0.24223351
222,manipulated_2,-0.39572775,0.2322168
223,manipulated_2,-0.33024508,0.16669647
224,manipulated_2,0.05111104,0.25868338
225,manipulated_2,-0.69131666,0.27976498
226,manipulated_2,-0.49052027,0.34431452
227,manipulated_2,-0.4640631,0.5201492
228,manipulated_2,-0.32239,-0.021714484
229,manipulated_2,-0.20969056,-0.059461817
230,manipulated_2,-0.37544417,-0.0066817165
231,manipulated_2,-0.52452075,0.16421075
232,manipulated_2,-0.18750711,0.26903796
233,manipulated_2,-0.37317574,0.21639356
234,manipulated_2,-0.3379263,0.17747575
235,manipulated_2,-0.22801337,0.12920891
236,manipulated_2,0.03799723,0.18045864
237,manipulated_2,-0.7882432,0.4571495
238,manipulated_2,-0.6837347,0.45338035
239,manipulated_2,-0.60275924,0.31776494
240,manipulated_2,-0.45854896,0.42833048
241,manipulated_2,-0.60260147,0.57870305
242,manipulated_2,-0.15363787,0.52741957
243,manipulated_2,0.4325621,1.040546
244,manipulated_2,0.23166656,1.1199281
245,manipulated_2,0.5230284,0.90802646
246,manipulated_2,0.47801906,-0.43583682
247,manipulated_2,0.440286,-0.45207423
248,manipulated_2,0.3541288,-0.5901563
249,manipulated_3,0.5779315,0.7884084
250,manipulated_3,-0.80298096,0.17767617
251,manipulated_3,-0.49389416,0.24963088
252,manipulated_3,-0.73294294,0.71065503
253,manipulated_3,-0.48868322,0.18959817
254,manipulated_3,-0.6624054,0.3997125
255,manipulated_3,-0.42920285,0.2674362
256,manipulated_3,-1.2125818,0.40569994
257,manipulated_3,-0.5248237,0.6498534
258,manipulated_3,0.21161273,1.1675042
259,manipulated_3,0.4401649,-0.15859592
